Enterprise,Title,Location,Link
(주)델레오코리아,[델레오코리아] DevOps 시스템 관리자 채용,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45305705
(주)에스티씨랩,Cloud DevOps Engineer,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44360288
해치랩스(주),[HQ] DevOps Engineer,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45236734
(주)스탬퍼,블록체인 서비스 DevOPS,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45078911
인포그랩(유),[인포그랩] DevOps CI/CD 파이프라인 엔지니어 (경력),경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45277139
인포그랩(유),[인포그랩] DevOps 엔지니어 구인(경력),경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45277221
인포그랩(유),[인포그랩] DevOps 컨설턴트/코치 구인 (경력),경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45277278
(주)헬로서치,유명 IT기업 DevOps엔지니어 모집,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45320669
(주)버드뷰,DevOps Engineer,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44481390
(주)큐픽스,[DevOps/Infra] 데브옵스/인프라 엔지니어,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45209277
(주)위클립스,[위클립스] DevOps/infra 엔지니어,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45339269
(주)위클립스,[위클립스] DevOps/infra 엔지니어 모집 공고,서울영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45338456
(주)위시빈,DevOps 엔지니어 [경력 5년 이상],서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44963846
(주)렌딧,DevOps Engineer,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44836273
(주)리버스랩,서버 인프라 담당자(Senior) DevOps AWS 개발자,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44985126
(주)에스유스카우트,[플랫폼솔루션] DevOps 엔지니어,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45320859
(주)와탭랩스,데브옵스 엔지니어(DevOps Engineer)(7년 이상),서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43344619
(주)테크에이스지엑스,클라우드 DevOps 엔지니어 채용,서울서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44950732
몬드리안에이아이(주),DevOps 엔지니어(경력),인천전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45128289
몬드리안에이아이(주),DevOps 엔지니어(신입),인천전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45128275
(주)한국포인트거래소,DevOps & SE,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44969906
몬드리안에이아이(주),"DevOps 엔지니어 (신입, 경력) 채용",인천연수구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45040805
(주)레드브릭,DevOps,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43311676
(주)스마트스코어,[골프IT플랫폼 스마트스코어] 기술운영 개발(DevOps),서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45020694
(주)콰가,DevOps 정규직 모집합니다,서울강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45026368
(주)페이히어,DevOps 엔지니어,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44766155
"(주)브레이브모바일(숨고, Soomgo)",DevOps Engineer,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44860058
아슈리온코리아(유),[외국계] IT DevOps Engineer,서울종로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45024283
(주)스마트스코어,DevOps(On-Premise/Cloud) Infra 운영 기술(System Enginner),서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45020726
(주)콰가,DevOps 정규직 모집합니다,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45142809
(주)카카오모빌리티,DevOps 엔지니어,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45314387
(주)와이즈커머스,이커머스 DevOps 엔지니어,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41324411
(주)에이젠글로벌,[에이젠 글로벌] DevOps 엔지니어,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43897211
(주)더라이징스타헤딩,[판교/딥엑스]데브옵스(DevOps) 엔지니어,경기성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45333833
(주)뉴링크,[뉴링크] DevOps Engineer,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42766402
쿼타랩(주),DevOps Engineer,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45270886
